ros_time_sec,run_id,seed,depth_rx,cloud_seq,target_id,state,context,candidate_range,candidate_score,candidate_strong,association_distance,bearing_error_deg,range_residual,prior_x,prior_y,measurement_x,measurement_y,post_x,post_y,kalman_gain_x,kalman_gain_y,innovation_xy,measurement_std
1784390418.742879,depth321_fix_01,101,629,629,1,ALIGN_TARGET,active_target,13.150058,321.017377,1,0.259482,0.058776,0.259124,12.369275,-5.119334,12.125006,-5.031793,12.209283,-5.061996,0.654982,0.654982,0.259482,0.437801
1784390419.040193,depth321_fix_01,101,630,630,1,ALIGN_TARGET,active_target,13.152369,321.904907,1,0.391627,1.658929,0.086113,12.209283,-5.061996,12.271843,-4.675399,12.234391,-4.906838,0.401343,0.401343,0.391627,0.437828
1784390419.131918,depth321_fix_01,101,631,631,1,ALIGN_TARGET,active_target,13.148086,324.227640,1,0.552562,2.391722,0.053870,12.234391,-4.906838,12.379859,-4.373768,12.276413,-4.752846,0.288877,0.288877,0.552562,0.437777
1784390419.293958,depth321_fix_01,101,632,632,1,ALIGN_TARGET,active_target,13.146589,321.806159,1,0.923242,4.015787,0.036542,12.276413,-4.752846,12.547605,-3.870333,12.338571,-4.550573,0.229202,0.229202,0.923242,0.437759
1784390422.276988,depth321_fix_01,101,648,648,1,APPROACH,active_target,13.487961,333.215245,1,0.928662,3.020074,0.616584,12.338571,-4.550573,12.650431,-5.425305,12.424078,-4.790411,0.274185,0.274185,0.928662,0.441856
1784390422.489077,depth321_fix_01,101,650,650,1,APPROACH,active_target,12.895735,351.756079,1,0.272743,1.101231,0.111473,12.424078,-4.790411,12.227832,-4.979821,12.379439,-4.833496,0.227468,0.227468,0.272743,0.434749
1784390422.582540,depth321_fix_01,101,651,651,1,APPROACH,active_target,13.542238,283.671310,1,0.841885,2.656462,0.575649,12.379439,-4.833496,12.670006,-5.623648,12.432679,-4.978276,0.183230,0.183230,0.841885,0.442507
1784390423.191729,depth321_fix_01,101,652,652,1,APPROACH,active_target,13.413623,301.267706,1,0.447009,0.489278,0.432573,12.432679,-4.978276,12.789833,-5.247084,12.496083,-5.025996,0.177526,0.177526,0.447009,0.440963
1784390425.047215,depth321_fix_01,101,660,660,1,APPROACH,active_target,13.051137,357.954004,1,0.501465,1.950641,0.240193,12.496083,-5.025996,12.542997,-5.525262,12.506300,-5.134727,0.217780,0.217780,0.501465,0.436614
1784390425.127410,depth321_fix_01,101,661,661,1,APPROACH,active_target,12.655806,356.057045,1,0.206657,0.284596,0.196708,12.506300,-5.134727,12.300431,-5.116700,12.468228,-5.131393,0.184932,0.184932,0.206657,0.431870
1784390425.303676,depth321_fix_01,101,662,662,1,APPROACH,active_target,12.639781,353.545426,1,0.158189,0.213682,0.150914,12.468228,-5.131393,12.310756,-5.116350,12.442581,-5.128943,0.162867,0.162867,0.158189,0.431677
1784390425.381524,depth321_fix_01,101,663,663,1,APPROACH,active_target,13.168952,289.455545,1,0.522498,1.417278,0.412578,12.442581,-5.128943,12.692692,-5.587690,12.477495,-5.192980,0.139592,0.139592,0.522498,0.438027
1784390425.589715,depth321_fix_01,101,664,664,1,APPROACH,active_target,13.227597,302.009146,1,0.485625,0.893840,0.441215,12.477495,-5.192980,12.962798,-5.175275,12.540779,-5.190672,0.130402,0.130402,0.485625,0.438731
1784390425.771787,depth321_fix_01,101,665,665,1,APPROACH,active_target,13.199777,296.398736,1,0.392643,0.369292,0.383589,12.540779,-5.190672,12.926936,-5.261746,12.588225,-5.199404,0.122867,0.122867,0.392643,0.438397
1784390426.733883,depth321_fix_01,101,669,669,1,APPROACH,active_target,12.903026,332.483659,1,0.247613,0.687980,0.194085,12.588225,-5.199404,12.705776,-5.417336,12.605798,-5.231983,0.149491,0.149491,0.247613,0.434836
1784390428.388155,depth321_fix_01,101,674,674,1,APPROACH,active_target,12.668887,331.673178,1,0.204586,0.353463,0.189310,12.605798,-5.231983,12.810374,-5.233964,12.645404,-5.232367,0.193598,0.193598,0.204586,0.432027
1784390429.796904,depth321_fix_01,101,682,682,1,APPROACH,active_target,11.831130,351.190451,1,0.484349,0.461395,0.474502,12.645404,-5.232367,12.170896,-5.135229,12.541013,-5.210996,0.219998,0.219998,0.484349,0.421974
1784390430.386076,depth321_fix_01,101,684,684,1,APPROACH,active_target,12.335904,309.631500,1,0.288692,0.836758,0.226902,12.541013,-5.210996,12.819051,-5.133293,12.595902,-5.195657,0.197415,0.197415,0.288692,0.428031
1784390430.488732,depth321_fix_01,101,685,685,1,APPROACH,active_target,11.769726,353.412422,1,0.369343,0.186411,0.367290,12.595902,-5.195657,12.242456,-5.088466,12.534652,-5.177081,0.173293,0.173293,0.369343,0.421237
1784390431.195422,depth321_fix_01,101,686,686,1,APPROACH,active_target,12.299055,290.160217,1,0.391220,1.072242,0.318513,12.534652,-5.177081,12.915528,-5.087713,12.599929,-5.161765,0.171387,0.171387,0.391220,0.427589
1784390431.333631,depth321_fix_01,101,687,687,1,APPROACH,active_target,12.304663,318.107450,1,0.308840,0.519555,0.288487,12.599929,-5.161765,12.908669,-5.169661,12.646779,-5.162963,0.151745,0.151745,0.308840,0.427656
1784390433.815431,depth321_fix_01,101,697,697,1,APPROACH,active_target,11.275770,326.062398,1,0.370640,0.392959,0.362217,12.646779,-5.162963,12.282409,-5.095076,12.561665,-5.147105,0.233593,0.233593,0.370640,0.415309
1784390435.165916,depth321_fix_01,101,701,701,1,APPROACH,active_target,11.638966,315.998230,1,0.369416,1.155219,0.287682,12.561665,-5.147105,12.915448,-5.040778,12.644442,-5.122227,0.233978,0.233978,0.369416,0.419668
1784390435.377796,depth321_fix_01,101,702,702,1,APPROACH,active_target,11.552705,345.045915,1,0.191060,0.499457,0.162804,12.644442,-5.122227,12.832959,-5.091155,12.681810,-5.116068,0.198221,0.198221,0.191060,0.418632
1784390436.022198,depth321_fix_01,101,705,705,1,APPROACH,active_target,11.517460,316.060787,1,0.282112,1.027364,0.194054,12.681810,-5.116068,12.938112,-4.998185,12.730658,-5.093601,0.190589,0.190589,0.282112,0.418210
1784390436.437082,depth321_fix_01,101,706,706,1,APPROACH,active_target,11.571391,311.573249,1,0.342811,1.016505,0.276373,12.730658,-5.093601,13.062306,-5.006832,12.789040,-5.078326,0.176034,0.176034,0.342811,0.418857
1784390436.515868,depth321_fix_01,101,707,707,1,APPROACH,active_target,11.571947,307.015067,1,0.298052,0.882897,0.240205,12.789040,-5.078326,13.077188,-5.002131,12.833103,-5.066675,0.152920,0.152920,0.298052,0.418863
