timestamp_ros_sec,run_id,random_seed,scan_generation,queue_position,target_id,target_state,verification_stage,drone_x_enu,drone_y_enu,drone_altitude,estimate_x_enu,estimate_y_enu,estimate_x_visual,estimate_y_visual,actual_x_visual,actual_y_visual,tof_distance,actual_visit_distance,position_error,visited_correct,kalman_gain_x,kalman_gain_y,kalman_updates
1784390563.812958,depth321_fix_01,101,1,1,1,visited,TO_3M,11.268485,-3.824376,0.710205,12.583739,-4.153581,-12.416261,-4.153581,-12.000000,-4.000000,1.164608,1.740399,0.443690,0,0.076799,0.076799,1481
1784390777.513262,depth321_fix_01,101,2,2,0,visited,TO_3M,12.737121,2.389795,0.712097,12.992800,3.676934,-12.007200,3.676934,-12.000000,4.000000,1.126123,1.631523,0.323147,0,0.076916,0.076916,1466
1784391061.012316,depth321_fix_01,101,3,3,2,visited,TO_3M,20.591423,10.382781,0.725800,21.086426,11.587603,-3.913574,11.587603,-4.000000,12.000000,1.125102,1.668032,0.421356,0,0.080658,0.080658,1537
1784391404.910558,depth321_fix_01,101,4,4,5,visited,TO_3M,13.171463,-10.247960,0.722443,12.916822,-11.562448,-12.083178,-11.562448,-12.000000,-12.000000,1.166675,1.760410,0.445388,0,0.079486,0.079486,1600
1784391810.861073,depth321_fix_01,101,5,5,4,visited,TO_3M,13.904717,10.579065,0.718475,13.371863,11.763454,-11.628137,11.763454,-12.000000,12.000000,1.121932,1.684509,0.440722,0,0.075924,0.075924,1502
1784392026.006673,depth321_fix_01,101,6,1,7,visited,TO_3M,19.565309,5.011082,0.709015,20.589035,4.179653,-4.410965,4.179653,-4.000000,4.000000,1.140329,1.755171,0.448517,0,0.077688,0.077688,1538
1784392381.342127,depth321_fix_01,101,7,2,6,visited,TO_3M,20.357395,-10.435174,0.732239,20.730245,-11.709469,-4.269755,-11.709469,-4.000000,-12.000000,1.152315,1.691633,0.396454,0,0.077728,0.077728,1485
1784392806.927661,depth321_fix_01,101,8,3,11,visited,TO_3M,36.517290,10.407724,0.722198,36.940479,11.642342,11.940479,11.642342,12.000000,12.000000,1.134834,1.663837,0.362577,0,0.076690,0.076690,1415
1784393028.612821,depth321_fix_01,101,9,4,10,visited,TO_3M,30.150474,5.197128,0.723206,29.045563,4.353252,4.045563,4.353252,4.000000,4.000000,1.179042,1.660333,0.356178,0,0.076995,0.076995,1524
1784393319.173693,depth321_fix_01,101,10,5,3,visited,TO_3M,21.854095,-2.501508,0.723541,21.062201,-3.591615,-3.937799,-3.591615,-4.000000,-4.000000,1.160049,1.724807,0.413095,0,0.083906,0.083906,1621
1784393583.727013,depth321_fix_01,101,11,6,8,visited,TO_3M,28.517149,10.424830,0.726105,28.911617,11.671645,3.911617,11.671645,4.000000,12.000000,1.140026,1.647515,0.340042,0,0.080489,0.080489,1620
1784394200.862328,depth321_fix_01,101,13,1,12,visited,TO_3M,28.228123,-2.456512,0.714966,28.747601,-3.725923,3.747601,-3.725923,4.000000,-4.000000,1.179805,1.725731,0.372590,0,0.074462,0.074462,591
1784394522.262944,depth321_fix_01,101,14,2,15,visited,TO_3M,35.842787,-10.665372,0.710052,36.765334,-11.663183,11.765334,-11.663183,12.000000,-12.000000,1.181135,1.766459,0.410504,0,0.080950,0.080950,1651
1784394719.765227,depth321_fix_01,101,15,3,16,visited,TO_3M,36.548468,-5.633028,0.716736,36.855043,-4.371769,11.855043,-4.371769,12.000000,-4.000000,1.117574,1.694303,0.399030,0,0.078449,0.078449,1313
1784394948.160010,depth321_fix_01,101,16,4,14,visited,TO_3M,30.292360,-10.960023,0.730591,29.236382,-11.824288,4.236382,-11.824288,4.000000,-12.000000,1.178669,1.658839,0.294535,0,0.076141,0.076141,1717
1784395210.959786,depth321_fix_01,101,17,5,9,visited,TO_3M,36.566057,2.358161,0.726044,36.981040,3.644980,11.981040,3.644980,12.000000,4.000000,1.172643,1.698217,0.355526,0,0.078177,0.078177,1641
1784426223.977407,depth321_fix_01,101,1,1,1,visited,TO_3M,11.234963,-4.046090,0.712952,12.553016,-4.353723,-12.446984,-4.353723,-12.000000,-4.000000,1.162201,1.765638,0.570013,0,0.076199,0.076199,1486
1784426421.374916,depth321_fix_01,101,2,2,0,visited,TO_3M,12.867944,2.338747,0.717194,13.211889,3.677866,-11.788111,3.677866,-12.000000,4.000000,1.199742,1.666493,0.385574,0,0.075794,0.075794,1399
1784426686.606414,depth321_fix_01,101,3,3,2,visited,TO_3M,20.653922,10.415696,0.717163,21.192453,11.660378,-3.807547,11.660378,-4.000000,12.000000,1.180729,1.621662,0.390360,0,0.078302,0.078302,1477
1784427007.624841,depth321_fix_01,101,4,4,5,visited,TO_3M,12.902178,-10.282505,0.715179,12.638316,-11.663698,-12.361684,-11.663698,-12.000000,-12.000000,1.206963,1.720278,0.493877,0,0.075412,0.075412,1529
1784427380.525085,depth321_fix_01,101,5,5,4,visited,TO_3M,13.963129,10.577136,0.709656,13.347616,11.788564,-11.652384,11.788564,-12.000000,12.000000,1.183807,1.718185,0.406868,0,0.075479,0.075479,1337
1784427672.874200,depth321_fix_01,101,6,6,3,visited,TO_3M,19.922046,-10.643092,0.714935,20.442726,-11.880870,-4.557274,-11.880870,-4.000000,-12.000000,1.162800,1.732970,0.569865,0,0.072679,0.072679,1564
1784427859.174925,depth321_fix_01,101,7,1,10,visited,TO_3M,20.826026,-5.634409,0.732117,21.183969,-4.312356,-3.816031,-4.312356,-4.000000,-4.000000,1.181539,1.643642,0.362506,0,0.075561,0.075561,1253
