ros_time_sec,run_id,seed,depth_rx,cloud_seq,target_id,state,candidate_range,candidate_score,candidate_strong,association_distance,bearing_error_deg,range_residual,prior_x,prior_y,measurement_x,measurement_y,post_x,post_y,kalman_gain_x,kalman_gain_y,measurement_std
1784382028.921824,depth_camera_direct1m_01,101,569,569,0,ALIGN_TARGET,13.555660,328.435683,0,0.338463,0.694868,0.296853,12.267634,-5.008776,12.478693,-5.273373,12.387751,-5.159363,0.569118,0.569118,0.522668
1784382029.003074,depth_camera_direct1m_01,101,570,570,0,ALIGN_TARGET,13.546111,333.682186,0,0.148514,0.389103,0.116905,12.387751,-5.159363,12.459661,-5.289306,12.413927,-5.206663,0.364007,0.364007,0.522553
1784382029.062371,depth_camera_direct1m_01,101,571,571,0,ALIGN_TARGET,13.595472,326.409609,0,0.173533,0.520615,0.122435,12.413927,-5.206663,12.574278,-5.140324,12.456835,-5.188912,0.267586,0.267586,0.523146
1784382029.593867,depth_camera_direct1m_01,101,572,572,0,ALIGN_TARGET,13.589660,324.380571,0,1.284858,5.424803,0.077032,12.456835,-5.188912,12.970315,-4.011117,12.571366,-4.926205,0.223050,0.223050,0.523076
1784382031.405645,depth_camera_direct1m_01,101,578,578,0,APPROACH,13.504165,316.146989,0,0.132590,0.049162,0.132088,12.571366,-4.926205,12.698293,-4.964544,12.599931,-4.934833,0.225050,0.225050,0.522050
1784382031.490669,depth_camera_direct1m_01,101,579,579,0,APPROACH,13.076068,323.595177,0,1.085549,4.502084,0.313064,12.599931,-4.934833,11.890118,-5.756162,12.465925,-5.089892,0.188791,0.188791,0.516913
1784382031.748637,depth_camera_direct1m_01,101,581,581,0,APPROACH,13.526843,311.364015,0,1.340807,5.634232,0.249999,12.465925,-5.089892,12.121925,-6.385819,12.409946,-5.300777,0.162729,0.162729,0.522322
1784382031.977135,depth_camera_direct1m_01,101,582,582,0,APPROACH,13.378507,347.805050,0,1.163200,4.980958,0.111809,12.409946,-5.300777,11.997094,-6.388246,12.349274,-5.460591,0.146959,0.146959,0.520542
1784382032.064160,depth_camera_direct1m_01,101,583,583,0,APPROACH,12.988652,355.345048,1,0.581508,2.233310,0.276424,12.349274,-5.460591,11.878448,-5.801873,12.266218,-5.520794,0.176405,0.176405,0.435864
1784382032.158028,depth_camera_direct1m_01,101,584,584,0,APPROACH,13.256384,359.785346,0,0.436154,1.872661,0.057788,12.266218,-5.520794,12.129188,-5.934863,12.250683,-5.567735,0.113365,0.113365,0.519077
