ros_time_sec,run_id,random_seed,rx_index,target_id,nav_state,stage,tof_range,map_distance_before,range_residual,yaw_error_deg,prior_x,prior_y,measurement_x,measurement_y,post_x,post_y,kalman_gain_x,kalman_gain_y,innovation_xy,accepted,reason
1784382062.307849,depth_camera_direct1m_01,101,1688,0,APPROACH,TO_1M,7.996761,8.424889,0.248127,-0.315992,12.582220,-4.741788,12.385275,-4.584069,12.554928,-4.719932,0.138575,0.138575,0.252314,1,accepted
1784382062.374357,depth_camera_direct1m_01,101,1689,0,APPROACH,TO_1M,7.970219,8.379827,0.229608,-0.280604,12.554928,-4.719932,12.371788,-4.575650,12.531875,-4.701770,0.125879,0.125879,0.233148,1,accepted
1784382062.533892,depth_camera_direct1m_01,101,1690,0,APPROACH,TO_1M,7.951303,8.328437,0.197134,-0.246590,12.523407,-4.697275,12.366509,-4.572779,12.506469,-4.683835,0.107953,0.107953,0.200290,1,accepted
1784382062.537510,depth_camera_direct1m_01,101,1691,0,APPROACH,TO_1M,7.963440,8.298598,0.155158,-0.215462,12.506469,-4.683835,12.384432,-4.583154,12.494497,-4.673959,0.098099,0.098099,0.158208,1,accepted
1784382062.597557,depth_camera_direct1m_01,101,1692,0,APPROACH,TO_1M,7.944516,8.273850,0.149333,-0.183930,12.494497,-4.673959,12.375440,-4.580051,12.483380,-4.665189,0.093382,0.093382,0.151635,1,accepted
1784382062.963644,depth_camera_direct1m_01,101,1697,0,APPROACH,TO_1M,7.950556,8.188386,0.057831,-0.124835,12.464296,-4.665078,12.421888,-4.621927,12.460490,-4.661205,0.089745,0.089745,0.060501,1,accepted
1784382063.026159,depth_camera_direct1m_01,101,1698,0,APPROACH,TO_1M,7.900671,8.171797,0.091126,-0.100569,12.460490,-4.661205,12.387138,-4.605288,12.454136,-4.656361,0.086632,0.086632,0.092235,1,accepted
1784382063.222135,depth_camera_direct1m_01,101,1699,0,APPROACH,TO_1M,7.882950,8.114375,0.051425,-0.114570,12.426907,-4.647848,12.389414,-4.609114,12.423722,-4.644557,0.084965,0.084965,0.053908,1,accepted
1784382063.293992,depth_camera_direct1m_01,101,1700,0,APPROACH,TO_1M,7.874250,8.087688,0.033438,-0.120070,12.411518,-4.640756,12.390199,-4.609939,12.409813,-4.638291,0.079992,0.079992,0.037472,1,accepted
1784382063.312147,depth_camera_direct1m_01,101,1701,0,APPROACH,TO_1M,7.847462,8.071353,0.043891,-0.110630,12.409813,-4.638291,12.378665,-4.603683,12.407466,-4.635684,0.075335,0.075335,0.046561,1,accepted
1784382063.314922,depth_camera_direct1m_01,101,1702,0,APPROACH,TO_1M,7.821247,8.068045,0.066798,-0.102338,12.407466,-4.635684,12.355617,-4.591191,12.403797,-4.632536,0.070763,0.070763,0.068322,1,accepted
1784382063.394768,depth_camera_direct1m_01,101,1703,0,APPROACH,TO_1M,7.800593,8.052723,0.072130,-0.098574,12.403797,-4.632536,12.347008,-4.585975,12.399723,-4.629195,0.071739,0.071739,0.073437,1,accepted
1784382063.459948,depth_camera_direct1m_01,101,1704,0,APPROACH,TO_1M,7.788892,8.034902,0.066010,-0.097448,12.399723,-4.629195,12.348239,-4.585699,12.396040,-4.626083,0.071546,0.071546,0.067398,1,accepted
1784382063.528410,depth_camera_direct1m_01,101,1705,0,APPROACH,TO_1M,7.807628,8.021600,0.033972,-0.098825,12.396040,-4.626083,12.372801,-4.597717,12.394376,-4.624052,0.071611,0.071611,0.036670,1,accepted
1784382063.747892,depth_camera_direct1m_01,101,1706,0,APPROACH,TO_1M,7.874434,7.988571,0.065863,-0.130801,12.394376,-4.624052,12.460966,-4.639514,12.399847,-4.625322,0.082171,0.082171,0.068362,1,accepted
1784382063.828550,depth_camera_direct1m_01,101,1707,0,APPROACH,TO_1M,7.859591,7.983360,0.056230,-0.130779,12.399847,-4.625322,12.457965,-4.636210,12.404585,-4.626210,0.081520,0.081520,0.059129,1,accepted
1784382063.897312,depth_camera_direct1m_01,101,1708,0,APPROACH,TO_1M,7.829844,7.973986,0.035858,-0.134664,12.404585,-4.626210,12.445059,-4.626917,12.407829,-4.626267,0.080150,0.080150,0.040480,1,accepted
1784382063.964419,depth_camera_direct1m_01,101,1709,0,APPROACH,TO_1M,7.798176,7.966821,0.011355,-0.131201,12.407829,-4.626267,12.426549,-4.615694,12.409306,-4.625433,0.078873,0.078873,0.021499,1,accepted
1784382064.099409,depth_camera_direct1m_01,101,1710,0,APPROACH,TO_1M,7.734482,7.936020,0.021537,-0.156623,12.396383,-4.623189,12.387901,-4.593842,12.395741,-4.620969,0.075652,0.075652,0.030548,1,accepted
1784382064.247247,depth_camera_direct1m_01,101,1711,0,APPROACH,TO_1M,7.681957,7.924455,0.062498,-0.078667,12.404421,-4.615865,12.354806,-4.576347,12.400789,-4.612972,0.073209,0.073209,0.063430,1,accepted
1784382064.250206,depth_camera_direct1m_01,101,1712,0,APPROACH,TO_1M,7.679272,7.909292,0.050019,-0.064721,12.400789,-4.612972,12.361200,-4.581129,12.398061,-4.610777,0.068923,0.068923,0.050806,1,accepted
1784382064.366294,depth_camera_direct1m_01,101,1713,0,APPROACH,TO_1M,7.670234,7.899343,0.049109,0.040328,12.417552,-4.608742,12.371817,-4.590016,12.414416,-4.607458,0.068568,0.068568,0.049421,1,accepted
1784382064.369600,depth_camera_direct1m_01,101,1714,0,APPROACH,TO_1M,7.642752,7.895976,0.073224,0.037579,12.414416,-4.607458,12.347717,-4.576808,12.410089,-4.605470,0.064883,0.064883,0.073405,1,accepted
1784382064.511667,depth_camera_direct1m_01,101,1715,0,APPROACH,TO_1M,7.637784,7.904484,0.086700,0.183454,12.443726,-4.602763,12.355576,-4.583268,12.438041,-4.601506,0.064493,0.064493,0.090280,1,accepted
1784382064.516031,depth_camera_direct1m_01,101,1716,0,APPROACH,TO_1M,7.647826,7.887147,0.059321,0.181599,12.438041,-4.601506,12.374045,-4.594891,12.434117,-4.601100,0.061305,0.061305,0.064336,1,accepted
1784382064.551736,depth_camera_direct1m_01,101,1717,0,APPROACH,TO_1M,7.616514,7.880600,0.084086,0.172114,12.434117,-4.601100,12.349048,-4.581400,12.428984,-4.599912,0.060344,0.060344,0.087321,1,accepted
1784382064.622345,depth_camera_direct1m_01,101,1718,0,APPROACH,TO_1M,7.604672,7.864046,0.079374,0.165049,12.428984,-4.599912,12.348535,-4.581578,12.423996,-4.598775,0.062007,0.062007,0.082512,1,accepted
1784382064.688268,depth_camera_direct1m_01,101,1719,0,APPROACH,TO_1M,7.581481,7.849205,0.087724,0.152668,12.423996,-4.598775,12.337059,-4.574900,12.418507,-4.597267,0.063136,0.063136,0.090156,1,accepted
1784382064.786581,depth_camera_direct1m_01,101,1720,0,APPROACH,TO_1M,7.655598,7.812406,0.023192,0.117336,12.406627,-4.592483,12.419278,-4.617673,12.407428,-4.594077,0.063286,0.063286,0.028188,1,accepted
1784382064.838631,depth_camera_direct1m_01,101,1721,0,APPROACH,TO_1M,7.647245,7.806674,0.020572,0.102895,12.407428,-4.594077,12.418735,-4.616268,12.408143,-4.595481,0.063261,0.063261,0.024905,1,accepted
1784382065.032262,depth_camera_direct1m_01,101,1722,0,APPROACH,TO_1M,7.632467,7.753336,0.059132,0.056004,12.378190,-4.582235,12.426419,-4.617283,12.381293,-4.584490,0.064344,0.064344,0.059619,1,accepted
1784382065.037511,depth_camera_direct1m_01,101,1723,0,APPROACH,TO_1M,7.580157,7.746510,0.013647,0.042854,12.381293,-4.584490,12.390486,-4.596125,12.381856,-4.585202,0.061174,0.061174,0.014828,1,accepted
1784382065.056258,depth_camera_direct1m_01,101,1724,0,APPROACH,TO_1M,7.518603,7.742715,0.044112,0.036140,12.381856,-4.585202,12.340813,-4.568318,12.379434,-4.584206,0.059003,0.059003,0.044380,1,accepted
1784382065.120968,depth_camera_direct1m_01,101,1725,0,APPROACH,TO_1M,7.522084,7.729214,0.027130,0.025732,12.379434,-4.584206,12.353964,-4.574238,12.377896,-4.583604,0.060403,0.060403,0.027350,1,accepted
1784382065.195357,depth_camera_direct1m_01,101,1726,0,APPROACH,TO_1M,7.497498,7.711997,0.034499,0.011678,12.377896,-4.583604,12.346866,-4.568444,12.375961,-4.582659,0.062332,0.062332,0.034535,1,accepted
1784382065.263776,depth_camera_direct1m_01,101,1727,0,APPROACH,TO_1M,7.497593,7.697613,0.020020,-0.002183,12.375961,-4.582659,12.358531,-4.572807,12.374853,-4.582032,0.063597,0.063597,0.020022,1,accepted
