timestamp_ros_sec,run_id,random_seed,scan_generation,queue_position,target_id,target_state,verification_stage,drone_x_enu,drone_y_enu,drone_altitude,estimate_x_enu,estimate_y_enu,estimate_x_visual,estimate_y_visual,actual_x_visual,actual_y_visual,tof_distance,actual_visit_distance,position_error,visited_correct,kalman_gain_x,kalman_gain_y,kalman_updates
1784410486.938282,depth_direct_fix_01,101,1,1,0,visited,TO_3M,11.405912,-3.695469,0.713287,12.570154,-4.139579,-12.429846,-4.139579,-12.000000,-4.000000,1.069688,1.622916,0.451940,0,0.054706,0.054706,1784
1784410647.287846,depth_direct_fix_01,101,2,2,1,visited,TO_3M,12.943206,2.333228,0.716858,13.097309,3.588414,-11.902691,3.588414,-12.000000,4.000000,1.085220,1.667739,0.422933,0,0.055001,0.055001,1609
1784410854.189615,depth_direct_fix_01,101,3,3,2,visited,TO_3M,19.756512,-10.853643,0.726379,20.496769,-11.869785,-4.503231,-11.869785,-4.000000,-12.000000,1.068044,1.691271,0.519805,0,0.054503,0.054503,1916
1784410999.241534,depth_direct_fix_01,101,4,4,6,visited,TO_3M,14.435446,-11.289847,0.732697,13.251941,-11.693098,-11.748059,-11.693098,-12.000000,-12.000000,1.076023,1.601506,0.397068,0,0.054411,0.054411,1476
1784411297.448418,depth_direct_fix_01,101,5,5,5,visited,TO_3M,13.749048,10.569611,0.721680,13.304888,11.750759,-11.695112,11.750759,-12.000000,12.000000,1.073936,1.614648,0.393799,0,0.053823,0.053823,1880
1784411451.388241,depth_direct_fix_01,101,6,6,4,visited,TO_3M,19.578976,11.181813,0.701599,20.751684,11.655362,-4.248316,11.655362,-4.000000,12.000000,1.077067,1.639738,0.424778,0,0.053852,0.053852,1623
1784411607.240615,depth_direct_fix_01,101,7,1,3,visited,TO_3M,20.339085,5.497503,0.709595,20.616747,4.302719,-4.383253,4.302719,-4.000000,4.000000,1.029865,1.636864,0.488387,0,0.066571,0.066571,1660
1784411876.940838,depth_direct_fix_01,101,8,2,12,visited,TO_3M,27.713488,-10.843759,0.721710,28.512598,-11.810114,3.512598,-11.810114,4.000000,-12.000000,1.081950,1.729742,0.523084,0,0.055559,0.055559,1837
1784412065.559384,depth_direct_fix_01,101,9,3,10,visited,TO_3M,35.984903,-5.271338,0.740601,36.851967,-4.373802,11.851967,-4.373802,12.000000,-4.000000,1.060039,1.626874,0.402046,0,0.054938,0.054938,1934
1784412309.390347,depth_direct_fix_01,101,10,4,15,visited,TO_3M,22.611095,-3.915604,0.714325,21.353341,-3.839244,-3.646659,-3.839244,-4.000000,-4.000000,1.076776,1.613304,0.388191,0,0.053597,0.053597,1412
1784412474.490119,depth_direct_fix_01,101,11,5,7,visited,TO_3M,28.471775,2.496398,0.719147,28.964637,3.649827,3.964637,3.649827,4.000000,4.000000,1.077737,1.593687,0.351954,0,0.054244,0.054244,1750
1784412791.789457,depth_direct_fix_01,101,12,6,14,visited,TO_3M,29.673996,10.591908,0.719208,29.259690,11.766159,4.259690,11.766159,4.000000,12.000000,1.058878,1.561087,0.349457,0,0.054324,0.054324,1664
1784413031.788705,depth_direct_fix_01,101,13,7,9,visited,TO_3M,28.738253,-2.374885,0.722076,28.740847,-3.611533,3.740847,-3.611533,4.000000,-4.000000,1.067611,1.646059,0.466976,0,0.054036,0.054036,1378
1784413204.788949,depth_direct_fix_01,101,14,1,11,visited,TO_3M,35.875170,2.745463,0.722839,36.791787,3.604317,11.791787,3.604317,12.000000,4.000000,1.067210,1.684965,0.447121,0,0.053871,0.053871,1864
1784413443.089153,depth_direct_fix_01,101,15,2,18,visited,TO_3M,35.889173,-10.631757,0.715454,36.545344,-11.700688,11.545344,-11.700688,12.000000,-12.000000,1.077549,1.762392,0.544334,0,0.053985,0.053985,1508
