ros_time_sec,run_id,random_seed,rx_index,target_id,nav_state,stage,tof_range,map_distance_before,range_residual,yaw_error_deg,prior_x,prior_y,measurement_x,measurement_y,post_x,post_y,kalman_gain_x,kalman_gain_y,innovation_xy,accepted,reason
1784368135.210641,direct1m_01,101,1649,1,APPROACH,TO_1M,7.999479,8.644313,0.464834,-0.192838,12.530807,-5.149053,12.140845,-4.894492,12.230555,-4.953053,0.769953,0.769953,0.465695,1,accepted
1784368135.363025,direct1m_01,101,1651,1,APPROACH,TO_1M,7.986906,8.254277,0.087371,-0.035601,12.230555,-4.953053,12.157137,-4.905413,12.198328,-4.932141,0.438957,0.438957,0.087520,1,accepted
1784368136.562789,direct1m_01,101,1652,1,APPROACH,TO_1M,7.978767,8.204314,0.045546,-0.019208,12.198328,-4.932141,12.160101,-4.907227,12.186557,-4.924470,0.307928,0.307928,0.045629,1,accepted
1784368136.629327,direct1m_01,101,1653,1,APPROACH,TO_1M,7.986250,8.177535,0.011285,-0.012408,12.186557,-4.924470,12.177627,-4.917346,12.184426,-4.922770,0.238596,0.238596,0.011423,1,accepted
1784368136.707052,direct1m_01,101,1654,1,APPROACH,TO_1M,7.981398,8.163918,0.002521,-0.010313,12.184426,-4.922770,12.182964,-4.920245,12.184138,-4.922273,0.196749,0.196749,0.002917,1,accepted
1784368136.779466,direct1m_01,101,1655,1,APPROACH,TO_1M,7.967639,8.147722,0.000083,-0.014521,12.184138,-4.922273,12.185089,-4.920438,12.184299,-4.921964,0.168510,0.168510,0.002067,1,accepted
1784368136.851611,direct1m_01,101,1656,1,APPROACH,TO_1M,7.947336,8.135002,0.007666,-0.022988,12.184299,-4.921964,12.179257,-4.915331,12.183550,-4.920979,0.148499,0.148499,0.008331,1,accepted
1784368136.931278,direct1m_01,101,1657,1,APPROACH,TO_1M,7.923289,8.122619,0.019329,-0.032310,12.183550,-4.920979,12.169032,-4.907423,12.181602,-4.919160,0.134203,0.134203,0.019864,1,accepted
1784368137.003657,direct1m_01,101,1658,1,APPROACH,TO_1M,7.993546,8.103751,0.069795,-0.050319,12.181602,-4.919160,12.245749,-4.947575,12.189485,-4.922652,0.122892,0.122892,0.070160,1,accepted
1784368137.074224,direct1m_01,101,1659,1,APPROACH,TO_1M,7.968891,8.099379,0.049512,-0.063698,12.189485,-4.922652,12.236952,-4.939381,12.194896,-4.924559,0.113987,0.113987,0.050329,1,accepted
1784368137.152636,direct1m_01,101,1660,1,APPROACH,TO_1M,7.869977,8.093797,0.043820,-0.074300,12.194896,-4.924559,12.162052,-4.893719,12.191366,-4.921245,0.107453,0.107453,0.045053,1,accepted
1784368137.237227,direct1m_01,101,1661,1,APPROACH,TO_1M,7.935138,8.073269,0.041869,-0.096600,12.191366,-4.921245,12.234484,-4.930196,12.195791,-4.922163,0.102623,0.102623,0.044037,1,accepted
1784368137.289591,direct1m_01,101,1662,1,APPROACH,TO_1M,7.932717,8.065171,0.047546,-0.113121,12.195791,-4.922163,12.244988,-4.931929,12.200542,-4.923106,0.096574,0.096574,0.050157,1,accepted
1784368137.362499,direct1m_01,101,1663,1,APPROACH,TO_1M,7.855247,8.059070,0.023822,-0.125651,12.200542,-4.923106,12.188643,-4.895953,12.199436,-4.920582,0.092986,0.092986,0.029647,1,accepted
1784368137.438969,direct1m_01,101,1664,1,APPROACH,TO_1M,7.856836,8.044429,0.007593,-0.139511,12.199436,-4.920582,12.202583,-4.899820,12.199720,-4.918707,0.090277,0.090277,0.020999,1,accepted
1784368137.507761,direct1m_01,101,1665,1,APPROACH,TO_1M,7.857716,8.027808,0.009908,-0.154219,12.199720,-4.918707,12.219072,-4.904881,12.201413,-4.917497,0.087499,0.087499,0.023783,1,accepted
1784368137.584248,direct1m_01,101,1666,1,APPROACH,TO_1M,7.844501,8.017125,0.007377,-0.155707,12.201413,-4.917497,12.218660,-4.902262,12.202891,-4.916192,0.085711,0.085711,0.023012,1,accepted
1784368137.653259,direct1m_01,101,1667,1,APPROACH,TO_1M,7.820416,8.004257,0.003841,-0.155234,12.202891,-4.916192,12.210355,-4.895476,12.203516,-4.914458,0.083698,0.083698,0.022019,1,accepted
1784368137.720496,direct1m_01,101,1668,1,APPROACH,TO_1M,7.790435,7.986912,0.016478,-0.150701,12.203516,-4.914458,12.199684,-4.888053,12.203202,-4.912296,0.081884,0.081884,0.026682,1,accepted
1784368137.788739,direct1m_01,101,1669,1,APPROACH,TO_1M,7.775382,7.973618,0.018236,-0.141746,12.203202,-4.912296,12.197213,-4.886125,12.202721,-4.910191,0.080422,0.080422,0.026847,1,accepted
1784368137.873483,direct1m_01,101,1670,1,APPROACH,TO_1M,7.839587,7.955303,0.064284,-0.129904,12.202721,-4.910191,12.267471,-4.926555,12.207922,-4.911505,0.080322,0.080322,0.066786,1,accepted
1784368137.939970,direct1m_01,101,1671,1,APPROACH,TO_1M,7.817172,7.947377,0.049795,-0.115419,12.207922,-4.911505,12.259088,-4.922434,12.211963,-4.912368,0.078977,0.078977,0.052321,1,accepted
1784368138.003880,direct1m_01,101,1672,1,APPROACH,TO_1M,7.721927,7.940361,0.038435,-0.100875,12.211963,-4.912368,12.185620,-4.881099,12.209917,-4.909940,0.077659,0.077659,0.040886,1,accepted
1784368138.082973,direct1m_01,101,1673,1,APPROACH,TO_1M,7.791125,7.925500,0.045625,-0.087737,12.209917,-4.909940,12.255524,-4.922180,12.213455,-4.910890,0.077586,0.077586,0.047221,1,accepted
1784368138.146897,direct1m_01,101,1674,1,APPROACH,TO_1M,7.711437,7.919182,0.027745,-0.078476,12.213455,-4.910890,12.194829,-4.887650,12.212031,-4.909112,0.076475,0.076475,0.029783,1,accepted
