timestamp_ros_sec,run_id,random_seed,scan_generation,queue_position,target_id,target_state,verification_stage,drone_x_enu,drone_y_enu,drone_altitude,estimate_x_enu,estimate_y_enu,estimate_x_visual,estimate_y_visual,actual_x_visual,actual_y_visual,tof_distance,actual_visit_distance,position_error,visited_correct,kalman_gain_x,kalman_gain_y,kalman_updates
1784083864.462868,normal_01,101,1,1,1,visited,TO_3M,11.694235,2.934204,0.710968,12.900011,3.257154,-12.099989,3.257154,-12.000000,4.000000,1.190475,1.685510,0.749545,0,0.669388,0.669388,2
1784084050.559020,normal_01,101,2,2,0,visited,TO_3M,12.049886,-2.534618,0.730682,12.443111,-4.247278,-12.556889,-4.247278,-12.000000,-4.000000,1.210757,1.746443,0.609321,0,0.669388,0.669388,2
1784084324.559139,normal_01,101,3,3,3,visited,TO_3M,21.057033,10.350036,0.727722,21.471119,10.462937,-3.528881,10.462937,-4.000000,12.000000,1.180418,1.650949,1.607643,0,0.478161,0.478161,3
1784084691.609133,normal_01,101,4,4,5,visited,TO_3M,12.555294,-10.302442,0.722076,11.489559,-13.259708,-13.510441,-13.259708,-12.000000,-12.000000,1.275001,1.754841,1.966798,0,0.669388,0.669388,2
1784085061.158777,normal_01,101,5,5,4,visited,TO_3M,13.932248,10.614326,0.736237,13.841056,11.533930,-11.158944,11.533930,-12.000000,12.000000,1.135313,1.670084,0.961559,0,0.400202,0.400202,5
1784085263.059399,normal_01,101,6,1,6,visited,TO_3M,19.387681,4.681871,0.725067,20.759388,3.463031,-4.240612,3.463031,-4.000000,4.000000,1.180925,1.750577,0.588413,0,0.420315,0.420315,4
1784085575.912318,normal_01,101,7,2,13,visited,TO_3M,27.247430,-11.526900,0.724640,27.407206,-12.530386,2.407206,-12.530386,4.000000,-12.000000,1.223597,1.815303,1.678780,0,0.478161,0.478161,3
1784085764.959577,normal_01,101,8,3,7,visited,TO_3M,22.551511,-11.474420,0.700378,20.816217,-12.017979,-4.183783,-12.017979,-4.000000,-12.000000,1.172268,1.638115,0.184660,0,0.478161,0.478161,3
1784086018.709950,normal_01,101,9,4,8,visited,TO_3M,28.649978,2.426258,0.729675,29.123291,3.222260,4.123291,3.222260,4.000000,4.000000,1.117617,1.612197,0.787452,0,0.390166,0.390166,7
1784086228.810159,normal_01,101,10,5,2,visited,TO_3M,22.157457,-2.771143,0.724426,20.990302,-3.824709,-4.009698,-3.824709,-4.000000,-4.000000,1.194953,1.688134,0.175559,0,0.388779,0.388779,9
1784089157.242531,normal_01,101,1,1,0,visited,TO_3M,11.684181,2.872415,0.718811,12.813096,3.179584,-12.186904,3.179584,-12.000000,4.000000,1.196694,1.732867,0.841437,0,0.669388,0.669388,2
1784089343.448835,normal_01,101,2,2,2,visited,TO_3M,12.123631,-2.597833,0.718201,12.431499,-4.211991,-12.568501,-4.211991,-12.000000,-4.000000,1.139711,1.653510,0.606740,0,0.669388,0.669388,2
1784089480.194398,normal_01,101,3,3,3,visited,TO_3M,12.390179,-2.391587,0.727020,19.432549,-13.550544,-5.567451,-13.550544,-4.000000,-12.000000,1.197972,12.901574,2.204788,0,0.478161,0.478161,3
1784089626.293026,normal_01,101,4,4,5,visited,TO_3M,11.909111,-2.883724,0.732178,11.584112,-13.462385,-13.415888,-13.462385,-12.000000,-12.000000,8.655035,9.181314,2.035512,0,0.669388,0.669388,2
1784089910.293909,normal_01,101,5,5,4,visited,TO_3M,13.753812,10.479450,0.710846,13.821177,11.139087,-11.178823,11.139087,-12.000000,12.000000,1.154216,1.697146,1.189749,0,0.478161,0.478161,3
1784090105.843287,normal_01,101,6,6,1,visited,TO_3M,19.875177,10.697477,0.713440,21.337496,10.622474,-3.662504,10.622474,-4.000000,12.000000,1.194279,1.720986,1.418267,0,0.420315,0.420315,4
1784090298.498001,normal_01,101,7,1,6,visited,TO_3M,20.347324,5.495770,0.718597,20.947696,3.314719,-4.052304,3.314719,-4.000000,4.000000,1.053842,1.631966,0.687274,0,0.400202,0.400202,5
1784090504.392975,normal_01,101,8,2,7,visited,TO_3M,27.254398,3.611830,0.715576,28.775896,2.621655,3.775896,2.621655,4.000000,4.000000,1.234314,1.788240,1.396445,0,0.420315,0.420315,4
1784090799.847926,normal_01,101,9,3,9,visited,TO_3M,27.525341,-11.137577,0.721161,28.033541,-12.806845,3.033541,-12.806845,4.000000,-12.000000,1.237193,1.708330,1.258985,0,0.669388,0.669388,2
1784091001.443894,normal_01,101,10,4,8,visited,TO_3M,22.170711,-5.129882,0.723145,20.998179,-4.015428,-4.001821,-4.015428,-4.000000,-4.000000,1.191816,1.627021,0.015535,0,0.389156,0.389156,8
1784091263.793188,normal_01,101,11,5,12,visited,TO_3M,28.728176,10.337823,0.727936,28.991853,11.160571,3.991853,11.160571,4.000000,12.000000,1.157359,1.684257,0.839469,0,0.400202,0.400202,5
1784091472.745052,normal_01,101,12,6,10,visited,TO_3M,35.194322,4.255766,0.729462,36.473499,2.986753,11.473499,2.986753,12.000000,4.000000,1.154109,1.823702,1.141873,0,0.400202,0.400202,5
1784091670.195083,normal_01,101,13,1,15,visited,TO_3M,36.736108,10.346067,0.726105,37.169245,11.218716,12.169245,11.218716,12.000000,12.000000,1.169912,1.674853,0.799405,0,0.420315,0.420315,4
1784091914.594278,normal_01,101,14,2,13,visited,TO_3M,29.236496,-2.303653,0.721710,28.253877,-4.030893,3.253877,-4.030893,4.000000,-4.000000,1.232428,1.712753,0.746762,0,0.669388,0.669388,2
1784092113.842286,normal_01,101,15,3,14,visited,TO_3M,35.169008,-3.756662,0.713379,36.269267,-4.448895,11.269267,-4.448895,12.000000,-4.000000,1.161590,1.847091,0.857600,0,0.400202,0.400202,5
1784092316.742341,normal_01,101,16,4,11,visited,TO_3M,35.899965,-10.611756,0.719116,35.990811,-12.329953,10.990811,-12.329953,12.000000,-12.000000,1.204969,1.771242,1.061759,0,0.390166,0.390166,7
1784112173.235719,normal_01,101,1,1,1,visited,TO_3M,11.256257,-4.191512,0.722687,12.485973,-4.645899,-12.514027,-4.645899,-12.000000,-4.000000,1.178059,1.754228,0.825475,0,0.669388,0.669388,2
1784112367.092296,normal_01,101,2,2,0,visited,TO_3M,12.975530,2.334633,0.680206,13.393751,3.296591,-11.606249,3.296591,-12.000000,4.000000,1.200000,1.665547,0.806117,0,0.478161,0.478161,3
1784112641.782415,normal_01,101,3,3,2,visited,TO_3M,19.339777,-11.508107,0.732147,19.799533,-12.985655,-5.200467,-12.985655,-4.000000,-12.000000,1.212120,1.731560,1.553266,0,0.478161,0.478161,3
1784112823.230134,normal_01,101,4,4,6,visited,TO_3M,14.590899,-12.097711,0.731842,11.634794,-13.068550,-13.365206,-13.068550,-12.000000,-12.000000,1.276621,1.593897,1.733662,0,0.478161,0.478161,3
1784113207.382689,normal_01,101,5,5,5,visited,TO_3M,13.986770,10.636296,0.718170,13.776070,11.170554,-11.223930,11.170554,-12.000000,12.000000,1.137952,1.683271,1.135898,0,0.420315,0.420315,4
1784114855.377255,normal_01,101,1,1,0,visited,TO_3M,11.319710,-4.223605,0.727905,12.461969,-4.570691,-12.538031,-4.570691,-12.000000,-4.000000,1.192222,1.695103,0.784325,0,0.669388,0.669388,2
1784115047.866733,normal_01,101,2,2,1,visited,TO_3M,12.797232,2.248070,0.696442,13.233682,3.269977,-11.766318,3.269977,-12.000000,4.000000,1.172980,1.763625,0.766512,0,0.478161,0.478161,3
1784115325.616982,normal_01,101,3,3,2,visited,TO_3M,19.320790,-11.410236,0.719055,19.878106,-12.925876,-5.121894,-12.925876,-4.000000,-12.000000,1.231564,1.779766,1.454611,0,0.478161,0.478161,3
1784153891.100274,normal_01,101,1,1,1,visited,TO_3M,11.667277,3.007127,0.700958,12.860653,3.228994,-12.139347,3.228994,-12.000000,4.000000,1.174865,1.661911,0.783497,0,0.669388,0.669388,2
1784154084.099381,normal_01,101,2,2,0,visited,TO_3M,12.208761,-2.487410,0.719666,12.462900,-4.290141,-12.537100,-4.290141,-12.000000,-4.000000,1.173271,1.707041,0.610457,0,0.478161,0.478161,3
1784154343.799471,normal_01,101,3,3,3,visited,TO_3M,21.052791,10.328850,0.726929,21.510501,10.531285,-3.489499,10.531285,-4.000000,12.000000,1.178978,1.671983,1.554907,0,0.478161,0.478161,3
1784154540.549755,normal_01,101,4,5,5,visited,TO_3M,14.637490,11.592690,0.718262,13.843686,11.660581,-11.156314,11.660581,-12.000000,12.000000,1.179265,1.687387,0.909401,0,0.400202,0.400202,5
1784154852.650475,normal_01,101,5,6,4,visited,TO_3M,19.679254,-10.823412,0.727814,19.882945,-12.985041,-5.117055,-12.985041,-4.000000,-12.000000,1.217269,1.768821,1.489334,0,0.420315,0.420315,4
1784155039.050112,normal_01,101,6,1,2,visited,TO_3M,20.719371,-5.625579,0.716064,20.622220,-4.920974,-4.377780,-4.920974,-4.000000,-4.000000,1.134030,1.649624,0.995445,0,0.400202,0.400202,5
1784157537.993044,normal_01,101,1,1,0,visited,TO_3M,11.212472,-4.138145,0.719788,12.436334,-4.602283,-12.563666,-4.602283,-12.000000,-4.000000,1.201123,1.792859,0.824903,0,0.669388,0.669388,2
1784157738.485120,normal_01,101,2,2,1,visited,TO_3M,12.874232,2.365682,0.713440,13.231708,3.248746,-11.768292,3.248746,-12.000000,4.000000,1.193464,1.639150,0.786175,0,0.669388,0.669388,2
1784157995.733197,normal_01,101,3,3,4,visited,TO_3M,19.432292,-11.107834,0.730865,20.015872,-12.676136,-4.984128,-12.676136,-4.000000,-12.000000,1.245772,1.803793,1.194013,0,0.478161,0.478161,3
1784158173.183397,normal_01,101,4,4,6,visited,TO_3M,14.595413,-11.747576,0.707397,11.537138,-12.955083,-13.462862,-12.955083,-12.000000,-12.000000,1.190317,1.615259,1.747040,0,0.478161,0.478161,3
1784158543.782585,normal_01,101,5,5,5,visited,TO_3M,13.854052,10.560604,0.718536,13.648733,11.005594,-11.351267,11.005594,-12.000000,12.000000,1.149855,1.673698,1.187307,0,0.478161,0.478161,3
1784158763.884354,normal_01,101,6,6,2,visited,TO_3M,20.113312,10.590136,0.728851,21.552094,10.469840,-3.447906,10.469840,-4.000000,12.000000,8.489058,1.665513,1.626714,0,0.478161,0.478161,3
1784158942.933832,normal_01,101,7,1,3,visited,TO_3M,20.198636,5.580715,0.716064,20.866656,3.345836,-4.133344,3.345836,-4.000000,4.000000,1.187473,1.772243,0.667616,0,0.392878,0.392878,6
1784159194.193745,normal_01,101,9,4,8,visited,TO_3M,19.952424,5.503751,0.712646,20.674566,-4.650108,-4.325434,-4.650108,-4.000000,-4.000000,1.264679,9.561313,0.727013,0,0.392878,0.392878,6
1784159389.998665,normal_01,101,10,5,7,visited,TO_3M,27.180600,4.015853,0.717560,28.652494,3.222920,3.652494,3.222920,4.000000,4.000000,1.160497,1.819469,0.851242,0,0.388779,0.388779,9
1784159584.133703,normal_01,101,11,7,12,visited,TO_3M,28.783202,10.374693,0.724609,29.201056,11.137729,4.201056,11.137729,4.000000,12.000000,1.195816,1.639702,0.885401,0,0.400202,0.400202,5
1784159785.634020,normal_01,101,12,8,14,visited,TO_3M,35.166440,4.382540,0.716766,36.181054,3.227064,11.181054,3.227064,12.000000,4.000000,1.180362,1.873041,1.126100,0,0.400202,0.400202,5
1784159974.933692,normal_01,101,13,1,18,visited,TO_3M,36.821110,10.304065,0.713165,37.167684,11.238631,12.167684,11.238631,12.000000,12.000000,1.204712,1.705344,0.779616,0,0.669388,0.669388,2
1784208320.436480,normal_02,202,1,1,0,visited,TO_3M,11.257319,-4.066918,0.711121,12.481022,-4.581565,-12.518978,-4.581565,-12.000000,-4.000000,1.168566,1.743966,0.779459,0,0.669388,0.669388,2
1784208623.885108,normal_02,202,2,2,5,visited,TO_3M,13.300649,10.346625,0.725677,13.526682,11.162973,-11.473318,11.162973,-12.000000,12.000000,1.187506,1.680488,0.988943,0,0.669388,0.669388,2
