timestamp_ros_sec,run_id,random_seed,scan_generation,queue_position,target_id,target_state,verification_stage,drone_x_enu,drone_y_enu,drone_altitude,estimate_x_enu,estimate_y_enu,estimate_x_visual,estimate_y_visual,actual_x_visual,actual_y_visual,tof_distance,actual_visit_distance,position_error,visited_correct,kalman_gain_x,kalman_gain_y,kalman_updates
1784361954.764262,tof_kalman_new_01,101,1,1,0,visited,TO_3M,11.285050,-4.252893,0.716492,12.806571,-4.585004,-12.193429,-4.585004,-12.000000,-4.000000,1.214267,1.733496,0.616153,0,0.075518,0.075518,1050
1784362148.063570,tof_kalman_new_01,101,2,2,1,visited,TO_3M,13.011684,2.369361,0.721558,13.327894,3.743583,-11.672106,3.743583,-12.000000,4.000000,1.175443,1.630681,0.416250,0,0.076378,0.076378,1151
1784362392.814066,tof_kalman_new_01,101,3,3,3,visited,TO_3M,19.398772,-11.313140,0.725525,20.503159,-12.225910,-4.496841,-12.225910,-4.000000,-12.000000,1.204461,1.742328,0.545790,0,0.074502,0.074502,672
1784362573.263879,tof_kalman_new_01,101,4,4,6,visited,TO_3M,14.566591,-11.481936,0.722839,13.244143,-11.658598,-11.755857,-11.658598,-12.000000,-12.000000,1.149860,1.650030,0.419715,0,0.075248,0.075248,964
1784362962.767447,tof_kalman_new_01,101,5,5,5,visited,TO_3M,14.023334,10.708798,0.712402,13.347850,11.911685,-11.652150,11.911685,-12.000000,12.000000,1.206363,1.647548,0.358886,0,0.074283,0.074283,1046
1784363144.215611,tof_kalman_new_01,101,6,6,4,visited,TO_3M,19.420774,11.285278,0.724487,20.721773,11.723533,-4.278227,11.723533,-4.000000,12.000000,1.191609,1.733431,0.392230,0,0.075935,0.075935,1050
1784363330.666747,tof_kalman_new_01,101,7,1,2,visited,TO_3M,20.286901,5.560605,0.724762,20.614634,4.289668,-4.385366,4.289668,-4.000000,4.000000,1.138682,1.715808,0.482094,0,0.074510,0.074510,1105
1784363523.415707,tof_kalman_new_01,101,8,2,7,visited,TO_3M,27.168441,3.904525,0.716125,28.516891,3.804498,3.516891,3.804498,4.000000,4.000000,1.180018,1.834046,0.521167,0,0.074353,0.074353,803
1784363812.016223,tof_kalman_new_01,101,9,3,10,visited,TO_3M,27.919189,-10.635039,0.724884,28.504533,-11.929719,3.504533,-11.929719,4.000000,-12.000000,1.194817,1.741054,0.500427,0,0.073692,0.073692,1138
1784364010.666886,tof_kalman_new_01,101,10,4,9,visited,TO_3M,22.212546,-5.080303,0.716125,21.331633,-4.165657,-3.668367,-4.165657,-4.000000,-4.000000,1.078066,1.623984,0.370705,0,0.076137,0.076137,1211
1784364298.014041,tof_kalman_new_01,101,11,5,8,visited,TO_3M,28.664655,10.405974,0.718506,28.992961,11.669342,3.992961,11.669342,4.000000,12.000000,1.123217,1.628918,0.330733,0,0.075055,0.075055,1255
1784364567.278039,tof_kalman_new_01,101,12,6,11,visited,TO_3M,28.991910,-2.301394,0.721558,28.756009,-3.589263,3.756009,-3.589263,4.000000,-4.000000,1.128472,1.698625,0.477741,0,0.074963,0.074963,1082
1784364756.515274,tof_kalman_new_01,101,13,1,13,visited,TO_3M,35.198106,-3.886215,0.715576,36.536329,-4.031168,11.536329,-4.031168,12.000000,-4.000000,1.162680,1.805483,0.464717,0,0.074768,0.074768,753
1784364950.425327,tof_kalman_new_01,101,14,2,17,visited,TO_3M,36.007428,-10.518816,0.724121,36.535139,-11.771607,11.535139,-11.771607,12.000000,-12.000000,1.188177,1.783004,0.517937,0,0.074505,0.074505,1209
1784365314.617445,tof_kalman_new_01,101,15,3,18,visited,TO_3M,37.595956,2.458284,0.728455,37.218195,3.781851,12.218195,3.781851,12.000000,4.000000,1.200520,1.652892,0.308541,0,0.075236,0.075236,1013
1784365642.813469,tof_kalman_new_01,101,16,4,19,visited,TO_3M,37.777635,10.586373,0.716583,37.235547,11.775482,12.235547,11.775482,12.000000,12.000000,1.146297,1.613399,0.325408,0,0.073466,0.073466,1047
